Hand Number,Date/Time,Range File,Feedback,Position,Position Percentage,Min Opening Hand Type,Hole Cards,Hand Type,Hand Ranking Percentage,Your Decision,Correct Decision,Score
1,09-16-17 07:47:34,Starting Hands EV Range.txt,Incorrect,Button,33.33,Q5s,4c 3c ,43s,92.46,open,fold,0
2,09-16-17 07:47:34,Starting Hands EV Range.txt,Incorrect,Button,33.33,Q5s,6c 3h ,63o,74.66,open,fold,0
3,09-16-17 07:47:34,Starting Hands EV Range.txt,Incorrect,5 Off Button,14.29,A4s,Qh 9s ,Q9o,30.47,open,fold,0
4,09-16-17 07:47:34,Starting Hands EV Range.txt,Incorrect,High Jack,20.00,QTo,Ts 2d ,T2o,60.78,open,fold,0
5,09-16-17 07:47:34,Starting Hands EV Range.txt,Incorrect,5 Off Button,14.29,A4s,9d 2d ,92s,95.48,open,fold,0
6,09-16-17 07:47:34,Starting Hands EV Range.txt,Incorrect,6 Off Button,12.50,A5s,Qc Ts ,QTo,20.51,open,fold,0
7,09-16-17 07:47:34,Starting Hands EV Range.txt,Incorrect,Button,33.33,Q5s,7c 6s ,76o,48.42,open,fold,0
8,09-16-17 07:47:34,Starting Hands EV Range.txt,Incorrect,6 Off Button,12.50,A5s,Ts 8s ,T8s,19.31,open,fold,0
9,09-16-17 07:47:34,Starting Hands EV Range.txt,Incorrect,Button,33.33,Q5s,8d 4h ,84o,67.42,open,fold,0
10,09-16-17 07:47:34,Starting Hands EV Range.txt,Correct,Low Jack,16.67,55,Qs Ts ,QTs,8.90,open,open,1
11,09-16-17 07:47:34,Starting Hands EV Range.txt,Correct,7 Off Button,11.11,K9s,Ks Qd ,KQo,10.26,open,open,2
12,09-16-17 07:47:34,Starting Hands EV Range.txt,Correct,7 Off Button,11.11,K9s,Qs Ts ,QTs,8.90,open,open,3
13,09-16-17 07:47:34,Starting Hands EV Range.txt,Incorrect,Low Jack,16.67,55,8s 2d ,82o,69.23,open,fold,3
14,09-16-17 07:47:34,Starting Hands EV Range.txt,Correct,Low Jack,16.67,55,Kc Js ,KJo,14.03,open,open,4
15,09-16-17 07:47:34,Starting Hands EV Range.txt,Incorrect,Low Jack,16.67,55,8h 3h ,83s,99.40,open,fold,4
16,09-16-17 07:47:34,Starting Hands EV Range.txt,Incorrect,Cut Off,25.00,K4s,Jh 2h ,J2s,94.57,open,fold,4
17,09-16-17 07:47:34,Starting Hands EV Range.txt,Correct,Cut Off,25.00,K4s,5h 5d ,55,16.89,open,open,5
18,09-16-17 07:47:34,Starting Hands EV Range.txt,Incorrect,Low Jack,16.67,55,8s 5h ,85o,47.21,open,fold,5
